CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
64957	1068.41553	4718788268243	0.52251	0.38978	1068.31714	0.09839	1231	1	0.51116	0.40788	1	0.53225	0.43138	1	0.52170	0.41963	1	0.37173	0.67137	23.35008	1.36437	1	0.71634	0.67618	18.36055	1.36437	1	-0.02667	-0.02416	0.74489	0.00612	1	0.04248	-0.02323	0.69614	0.00489	1	0.49427	0.91944	0	
64958	1068.43250	4718788437886	0.52545	0.39727	1068.31714	0.11536	1231	1	0.57968	0.40275	1	0.51240	0.49671	1	0.54604	0.44973	1	0.37139	0.67210	22.62211	1.36437	1	0.71638	0.67748	16.74334	1.36437	1	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00478	1	0.49427	0.91944	0	
64959	1068.44836	4718788596016	0.52306	0.46292	1068.31714	0.13123	1231	1	0.57968	0.40275	0	0.50397	0.98808	1	0.50397	0.98808	1	0.37139	0.67210	22.62211	1.36437	0	0.37215	0.68052	12.22090	1.36437	1	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00542	1	0.49427	0.91944	0	
64960	1068.46545	4718788766605	0.52115	0.51543	1068.31714	0.14832	1231	1	0.57968	0.40275	0	0.50397	0.98808	1	0.50397	0.98808	1	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	1	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	
64961	1068.48157	4718788927627	0.52115	0.51543	1068.31714	0.16443	1231	1	0.57968	0.40275	0	0.50397	0.98808	0	0.50397	0.98808	0	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	0	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	START_TRIAL PLOT_7YTD.PNG
64962	1068.49792	4718789091525	0.52115	0.51543	1068.31714	0.18079	1231	1	0.57968	0.40275	0	0.50397	0.98808	0	0.50397	0.98808	0	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	0	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	
64963	1068.51392	4718789251612	0.52115	0.51543	1068.31714	0.19678	1231	1	0.57968	0.40275	0	0.50397	0.98808	0	0.50397	0.98808	0	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	0	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	
64964	1068.53040	4718789415769	0.52509	0.52411	1068.31714	0.19678	1231	0	0.57968	0.40275	0	0.50397	0.98808	0	0.50397	0.98808	0	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	0	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	
64965	1068.54688	4718789580583	0.52509	0.52411	1068.31714	0.19678	1231	0	0.57968	0.40275	0	0.50397	0.98808	0	0.50397	0.98808	0	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	0	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	
64966	1068.56323	4718789745022	0.52509	0.52411	1068.31714	0.19678	1231	0	0.57968	0.40275	0	0.50397	0.98808	0	0.50397	0.98808	0	0.37139	0.67210	22.62211	1.36437	0	0.37195	0.68411	9.61845	1.36437	0	-0.02667	-0.02416	0.74489	0.00605	1	0.04248	-0.02323	0.69614	0.00445	1	0.49427	0.91944	0	
