"accept_status","concepto_asg","crt_1","crt_2","crt_3","datetime","edad","estilo_decisiones","experiencia_finanzas","first_dicotomic","genero","gestion_digital","hrs_semanal","importancia_asg","interes_empresas_asg","inverisiones","nivel_educacion","ocupacion","rentabilidad_asg","response","scatter","second_dicotomic"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_combined_2YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_combined_5YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_combined_1YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_combined_6YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_2YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_7YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_combined_4YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_combined_3YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_3YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_5YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_1YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_4YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","q","plot_6YTD.png","0.5"
"yes","Algo familiarizado","0.05","5","47","Thu May 23 15:10:41 2024","23","Algo analítico/a","Si","Si, hasta un 0,6%","Masculino","Semanalmente","2","Algo importantes","Algo interesado/a","Si","Universitario","Estudiante","Mayor que la media del mercado","p","plot_combined_7YTD.png","0.5"
