CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
817628	58009.13672	3270155629463	0.40816	0.39974	58009.05469	0.08203	14538	1	0.39167	0.31827	1	0.39869	0.34583	1	0.39518	0.33205	1	0.49941	0.90349	14.47348	0.99298	1	0.87598	0.89531	15.11508	1.01282	1	0.00094	-0.04297	0.55495	0.00399	1	0.06497	-0.04550	0.61119	0.00401	1	0.61933	1.05990	0	
817629	58009.15234	3270155784173	0.42555	0.37661	58009.05469	0.09766	14538	1	0.54106	0.25788	1	0.51870	0.21785	1	0.52988	0.23786	1	0.49980	0.90223	15.12410	1.03192	1	0.87611	0.89375	15.56698	1.05176	1	0.00094	-0.04297	0.55495	0.00373	1	0.06497	-0.04550	0.61119	0.00354	1	0.61933	1.05990	0	
817630	58009.16797	3270155949739	0.43876	0.35567	58009.05469	0.11328	14538	1	0.54022	0.22525	1	0.52230	0.19290	1	0.53126	0.20907	1	0.49735	0.90110	14.92341	1.06057	1	0.87306	0.89019	13.70605	1.06973	1	0.00094	-0.04297	0.55495	0.00416	1	0.06149	-0.04294	0.58417	0.00459	1	0.61933	1.05990	0	
817631	58009.18359	3270156113520	0.43338	0.34580	58009.05469	0.12891	14538	1	0.44445	0.22350	1	0.33623	0.31014	1	0.39034	0.26682	1	0.49743	0.90050	15.09707	1.05945	1	0.87307	0.88961	14.26370	1.04876	1	0.00094	-0.04297	0.55495	0.00390	1	0.06149	-0.04294	0.58417	0.00375	1	0.61933	1.05990	0	
817632	58009.19922	3270156278356	0.42484	0.34829	58009.05469	0.14453	14538	1	0.36812	0.29067	1	0.32782	0.45077	1	0.34797	0.37072	1	0.49719	0.89869	15.12439	1.03848	1	0.87286	0.88914	14.75471	1.02780	1	0.00094	-0.04297	0.55495	0.00369	1	0.06149	-0.04294	0.58417	0.00379	1	0.61933	1.05990	0	
817633	58009.21875	3270156442483	0.41819	0.35353	58009.05469	0.16406	14538	1	0.37318	0.32244	1	0.33024	0.48945	1	0.35171	0.40594	1	0.49785	0.89660	13.94631	1.00870	1	0.87285	0.88555	14.21275	0.98886	1	0.00094	-0.04297	0.55495	0.00418	1	0.05935	-0.04109	0.56634	0.00424	1	0.61933	1.05990	0	
817634	58009.23438	3270156606525	0.43126	0.35060	58009.05469	0.17969	14538	1	0.59432	0.28362	1	0.55569	0.35319	1	0.57500	0.31840	1	0.49790	0.89669	14.49576	0.98004	1	0.87260	0.88598	14.81964	0.97089	1	0.00094	-0.04297	0.55495	0.00389	1	0.05935	-0.04109	0.56634	0.00381	1	0.61933	1.05990	0	
817635	58009.25000	3270156770477	0.44035	0.34893	58009.05469	0.19531	14538	1	0.57989	0.27955	1	0.51882	0.37806	1	0.54936	0.32880	1	0.49769	0.89559	14.48501	0.96207	1	0.87218	0.88466	15.06654	0.95291	1	0.00094	-0.04297	0.55495	0.00380	1	0.05935	-0.04109	0.56634	0.00365	1	0.61933	1.05990	0	
817636	58009.26562	3270156935216	0.44813	0.34789	58009.05469	0.21094	14538	1	0.57989	0.29063	1	0.51882	0.37806	1	0.54936	0.33435	1	0.49597	0.89504	13.92996	0.95291	1	0.87012	0.88311	14.18845	0.95291	1	0.00094	-0.04297	0.55495	0.00418	1	0.06127	-0.04247	0.58838	0.00415	1	0.61933	1.05990	0	
817637	58009.28125	3270157099658	0.46833	0.31486	58009.05469	0.21094	14538	0	0.51219	0.22429	1	0.55592	0.19628	1	0.53405	0.21028	1	0.49528	0.89370	13.79700	0.96173	1	0.87015	0.88265	14.12594	0.97089	1	0.00094	-0.04297	0.55495	0.00376	1	0.06127	-0.04247	0.58838	0.00378	1	0.61933	1.05990	0	
817638	58009.30078	3270157263748	0.48308	0.31039	58009.05469	0.21094	14538	0	0.49090	0.28188	1	0.50475	0.32997	1	0.49782	0.30593	1	0.49530	0.89331	14.04653	0.97970	1	0.86988	0.88191	14.61539	0.98886	1	0.00094	-0.04297	0.55495	0.00362	1	0.06127	-0.04247	0.58838	0.00376	1	0.61933	1.05990	0	
817639	58009.31641	3270157427634	0.48833	0.30141	58009.05469	0.21094	14538	0	0.48957	0.26095	1	0.50814	0.30594	1	0.49885	0.28345	1	0.49479	0.89266	13.74025	0.99767	1	0.86982	0.88188	14.40638	1.00683	1	0.00094	-0.04297	0.55495	0.00401	1	0.05948	-0.04093	0.57224	0.00430	1	0.61933	1.05990	0	
817640	58009.33203	3270157592071	0.47009	0.29242	58009.28125	0.05078	14539	1	0.43865	0.28389	1	0.39210	0.24703	1	0.41538	0.26546	1	0.49524	0.89179	13.92603	1.00683	1	0.86999	0.88043	13.87031	1.00683	1	0.00094	-0.04297	0.55495	0.00376	1	0.05948	-0.04093	0.57224	0.00396	1	0.61933	1.05990	0	
817641	58009.34766	3270157757121	0.44251	0.29331	58009.28125	0.06641	14539	1	0.33879	0.30120	1	0.32560	0.29251	1	0.33219	0.29686	1	0.49529	0.88974	14.39678	1.00683	1	0.87029	0.87840	14.19039	1.00683	1	0.00094	-0.04297	0.55495	0.00331	1	0.05948	-0.04093	0.57224	0.00370	1	0.61933	1.05990	0	
