"accept_status","concepto_asg","crt_1","crt_2","crt_3","datetime","edad","estilo_decisiones","experiencia_finanzas","first_dicotomic","genero","gestion_digital","hrs_semanal","importancia_asg","interes_empresas_asg","inverisiones","nivel_educacion","ocupacion","rentabilidad_asg","response","scatter","second_dicotomic"
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","p","plot_combined_4YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_combined_6YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_combined_7YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_combined_1YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_1YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_2YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_combined_3YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_5YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_combined_2YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","p","plot_4YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_6YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","p","plot_3YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","p","plot_combined_5YTD.png",""
"yes","Muy familiarizado","10","100","24","Thu May 23 14:29:48 2024","24","Muy analítico/a","Si","Si","Masculino","Raramente","8","Muy importantes","Muy interesado/a","Si","Universitario","Estudiante","Menor que la media del mercado","q","plot_7YTD.png",""
