CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
269303	4425.58887	367620030758	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	0
269304	4425.60547	367620196249	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269305	4425.62207	367620359566	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269306	4425.63818	367620524256	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269307	4425.65479	367620687307	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269308	4425.67139	367620853959	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269309	4425.68799	367621019155	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269310	4425.70410	367621183254	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269311	4425.72070	367621347076	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
269312	4425.73682	367621510297	0.00000	0.00000	4423.58496	0.26318	4335	0	0.28391	0.51117	0	0.29339	0.60157	0	0.28865	0.55637	0	0.47539	0.93681	6.83712	1.15600	0	0.83509	0.94656	10.53494	1.15600	0	0.00775	-0.05594	0.75157	0.00267	1	0.07025	-0.05671	0.69849	0.00356	1	0.51406	0.64352	0	
